"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1995","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","4247"
"1999","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4241"
"2009","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","4236"
"1989","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","4233"
"1990","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4231"
"1986","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","4230"
"1987","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","4230"
"1988","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","4230"
"1991","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","4230"
"1997","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","4222"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Golf Courses","4220"
"2012","PHOENIX AMA","Indian","Supply","Effluent","Effluent","4219"
"1991","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4216"
"2002","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4216"
"1991","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","4215"
"1993","PHOENIX AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","4212"
"1991","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","4197"
"1999","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4193"
"2012","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","4182"
"2004","PINAL AMA","Industrial","Demand","Industrial","Golf Courses","4172"
"2010","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4168"
"2001","PRESCOTT AMA","Agricultural","Supply","Groundwater","Groundwater","4167"
"2008","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4157"
"2011","PHOENIX AMA","Indian","Supply","Effluent","Effluent","4157"
"2008","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","4149"
"1990","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","4147"
"1996","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","4141"
"1985","SANTA CRUZ AMA","Municipal","Supply","Groundwater","Water withdrawn from wells","4140"
"1988","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","4140"
"2008","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","4140"
"1992","PRESCOTT AMA","Agricultural","Supply","Groundwater","Groundwater","4129"
"2009","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4128"
"1989","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4124"
"1994","PRESCOTT AMA","Municipal","Population","Municipal","Small Municipal Provider Population","4124"
"2014","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","4119"
"2001","TUCSON AMA","Municipal","Supply","Effluent","Effluent","4117"
"2011","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","4114"
"1990","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","4110"
"1987","PINAL AMA","Industrial","Supply","Groundwater","Groundwater","4108"
"2007","PHOENIX AMA","Indian","Supply","CAP","CAP","4105"
"1987","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4090"
"2013","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","4090"
"2010","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4088"
"2018","PHOENIX AMA","Indian","Supply","Effluent","Effluent","4082"
"2018","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4082"
"1989","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","4076"
"1986","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4074"
"1997","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","4071"
"2017","PRESCOTT AMA","Municipal","Supply","Surface Water","Recovered Surface Water","4070"
"2013","PHOENIX AMA","Agricultural","Supply","Other","Other","4069"
"2013","PINAL AMA","Indian","Supply","Surface Water","Surface Water","4068"
"2011","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4067"
"2012","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","4065"
"2000","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4064"
"1995","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","4062"
"2014","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4061"
"2010","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4060"
"2015","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4060"
"2016","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4060"
"2014","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","4056"
"2017","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","4056"
"2006","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4050"
"1991","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","4043"
"1989","SANTA CRUZ AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","4041"
"2015","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","4041"
"2018","PINAL AMA","Industrial","Demand","Industrial","Cattle Feedlots","4040"
"1986","SANTA CRUZ AMA","Municipal","Supply","Groundwater","Water withdrawn from wells","4038"
"2005","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4025"
"1993","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4024"
"2014","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","4021"
"1997","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","4019"
"2018","PHOENIX AMA","Municipal","Supply","Groundwater","Remediation water","4019"
"2001","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","4013"
"1990","PHOENIX AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","4011"
"1989","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","4007"
"1991","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4000"
"1997","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","4000"
"2001","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3999"
"1988","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","3994"
"2004","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3987"
"1994","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3984"
"1994","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3984"
"2016","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3980"
"1994","SANTA CRUZ AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3978"
"2010","PRESCOTT AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","3978"
"1986","PRESCOTT AMA","Municipal","Demand","Municipal","Total Large Provider Demand","3972"
"2012","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","3966"
"1992","PHOENIX AMA","Industrial","Supply","Surface Water","Surface Water","3954"
"1992","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","3951"
"1992","PHOENIX AMA","Municipal","Supply","Effluent","Direct Use Effluent","3951"
"1995","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3943"
"1996","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3939"
"2008","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3935"
"2014","PRESCOTT AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","3932"
"1987","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","3927"
"2002","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3917"
"2003","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3916"
"2009","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3914"
"1993","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3908"
"1988","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3907"
"1991","PHOENIX AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","3890"
"1987","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3881"
"2004","SANTA CRUZ AMA","Recharge","Natural","","Streambed Actual","3869"
"1989","PHOENIX AMA","Agricultural","Supply","Spill","Spill","3868"
"2016","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3868"
"2017","PHOENIX AMA","Agricultural","Supply","Effluent","GSF (EFFLUENT)","3856"
"2008","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3851"
"2005","TUCSON AMA","Municipal","Supply","Groundwater","Remediation water","3848"
"2004","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3847"
"2004","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3840"
"2001","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3837"
"1986","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","3833"
"1992","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3833"
"2002","SANTA CRUZ AMA","Recharge","Natural","","Streambed Actual","3821"
"1987","SANTA CRUZ AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3817"
"1999","PINAL AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3814"
"2002","PRESCOTT AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3814"
"1987","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3809"
"1994","PRESCOTT AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3809"
"2006","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3807"
"2018","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3806"
"1992","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","3800"
"1986","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3786"
"1998","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3784"
"2012","PHOENIX AMA","Industrial","Supply","CAP","Recovered CAP","3780"
"2005","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3775"
"2003","PINAL AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","3770"
"2014","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","3765"
"1995","TUCSON AMA","Municipal","Supply","Effluent","Effluent","3764"
"1991","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3760"
"2003","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3760"
"2011","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","3759"
"1990","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3745"
"2013","PRESCOTT AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","3741"
"2013","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","3740"
"1985","TUCSON AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","3725"
"2015","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3720"
"1999","PRESCOTT AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3718"
"2016","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3714"
"2017","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3714"
"1986","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3713"
"2011","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","3712"
"1993","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3709"
"2000","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3709"
"2006","PINAL AMA","Industrial","Demand","Industrial","Golf Courses","3709"
"1992","TUCSON AMA","Indian","Demand","Indian","Industrial","3705"
"1989","PRESCOTT AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3699"
"2017","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3696"
"1993","PRESCOTT AMA","Municipal","Population","Municipal","Small Municipal Provider Population","3694"
"1990","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3688"
"2010","PINAL AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","3686"
"1991","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","3680"
"2012","SANTA CRUZ AMA","Recharge","Natural","","US Effluent","3680"
"1996","PRESCOTT AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3679"
"1999","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","3675"
"1999","TUCSON AMA","Industrial","Demand","Industrial","Power Generation Facilities","3669"
"2003","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3664"
"2004","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3664"
"1985","PRESCOTT AMA","Municipal","Demand","Municipal","Total Large Provider Demand","3660"
"1988","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3659"
"1985","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1986","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1987","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1988","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1989","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1990","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1991","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1992","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1993","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1994","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1995","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1996","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1997","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1998","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"1999","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2000","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2001","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2002","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2003","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2004","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2005","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2006","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2007","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2008","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2009","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2010","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2011","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2012","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2013","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2014","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2015","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2016","TUCSON AMA","Recharge","Natural","","Canal Seepage","3657"
"2015","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","3656"
"1994","PHOENIX AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","3655"
"1989","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3640"
"2008","PRESCOTT AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","3638"
"1992","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3633"
"1993","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","3628"
"1993","PHOENIX AMA","Municipal","Supply","Effluent","Direct Use Effluent","3628"
"2016","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3623"
"1985","TUCSON AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3621"
"1989","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3618"
"1988","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3609"
"1997","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3600"
"2002","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3600"
"2003","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3589"
"2002","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3582"
"1988","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3572"
"1996","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","3566"
"2016","PHOENIX AMA","Indian","Supply","Effluent","Effluent","3563"
"2010","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","3552"
"1999","TUCSON AMA","Indian","Demand","Indian","Industrial","3550"
"2012","PHOENIX AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","3550"
"1988","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3549"
"2013","PHOENIX AMA","Industrial","Supply","CAP","CAP","3549"
"1998","PINAL AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3548"
"1985","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3546"
"1991","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3541"
"2017","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","3537"
"2015","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3534"
"2010","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","3523"
"2003","PHOENIX AMA","Industrial","Supply","Effluent","Recovered Effluent","3522"
"2016","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","3522"
"2012","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3516"
"2011","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","3515"
"2001","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3506"
"2000","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3499"
"2004","PRESCOTT AMA","Agricultural","Supply","Groundwater","Groundwater","3490"
"1996","SANTA CRUZ AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3486"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3481"
"2014","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3478"
"1990","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3467"
"2002","PHOENIX AMA","Agricultural","Supply","Effluent","GSF (EFFLUENT)","3467"
"1985","PINAL AMA","Recharge","Natural","","Riparian Transpiration GW","3465"
"2001","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","3460"
"2012","PINAL AMA","Indian","Supply","Surface Water","Surface Water","3459"
"1996","TUCSON AMA","Indian","Demand","Indian","Industrial","3455"
"2013","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3452"
"2018","PHOENIX AMA","Municipal","Supply","Spill","Spill","3452"
"1988","TUCSON AMA","Municipal","Supply","Effluent","Effluent","3449"
"2014","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3448"
"2001","PHOENIX AMA","Agricultural","Supply","Other","Other","3447"
"2001","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3446"
"1998","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3440"
"2005","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3440"
"2012","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3438"
"2007","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3424"
"1987","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3420"
"2017","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3417"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3414"
"2013","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3402"
"2005","PINAL AMA","Industrial","Demand","Industrial","Golf Courses","3393"
"2013","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3385"
"2014","PHOENIX AMA","Municipal","Supply","Groundwater","Remediation water","3375"
"2000","PHOENIX AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","3373"
"2011","SANTA CRUZ AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3371"
"2013","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3364"
"1996","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3357"
"2006","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3357"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3349"
"2015","TUCSON AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3348"
"1995","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3345"
"2009","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3343"
"2014","PHOENIX AMA","Industrial","Supply","Effluent","Recovered Effluent","3339"
"2015","PHOENIX AMA","Indian","Supply","Effluent","Effluent","3338"
"2014","PHOENIX AMA","Industrial","Supply","CAP","CAP","3325"
"2010","TUCSON AMA","Indian","Incidental Recharge","","Incidental Recharge","3323"
"1999","PINAL AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3322"
"2003","PRESCOTT AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","3322"
"2011","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3315"
"2011","SANTA CRUZ AMA","Recharge","Natural","","US Effluent","3308"
"2005","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3306"
"2010","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","3305"
"1997","PINAL AMA","Municipal","Population","Municipal","AMA Exempt Well Population","3301"
"1985","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","3290"
"2014","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3286"
"1999","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3283"
"2001","PRESCOTT AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3283"
"1997","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3282"
"2012","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3282"
"2011","PHOENIX AMA","Agricultural","Supply","Effluent","GSF (EFFLUENT)","3280"
"2014","PHOENIX AMA","Municipal","Supply","Spill","Spill","3279"
"1992","PHOENIX AMA","Agricultural","Supply","Other","Other","3275"
"2000","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3272"
"2002","TUCSON AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","3262"
"2002","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","3259"
"2000","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","3258"
"2010","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3258"
"2008","PRESCOTT AMA","Agricultural","Supply","Groundwater","Groundwater","3256"
"2009","TUCSON AMA","Industrial","Demand","Industrial","Non Facility Use","3256"
"2013","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3251"
"1986","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","3249"
"2018","PINAL AMA","Industrial","Supply","Effluent","Effluent","3246"
"2016","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3241"
"2017","PHOENIX AMA","Indian","Supply","Effluent","Effluent","3241"
"2017","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3240"
"2002","PINAL AMA","Municipal","Supply","CAP","CAP","3228"
"2018","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3228"
"2007","SANTA CRUZ AMA","Municipal","Population","Municipal","Small Municipal Provider Population","3225"
"2010","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3224"
"1995","SANTA CRUZ AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","3221"
"1997","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3220"
"1994","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3216"
"1988","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","3213"
"2009","PHOENIX AMA","Municipal","Demand","Municipal","Irrigation District Add ons","3212"
"2007","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3210"
"1991","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","3202"
"1991","PHOENIX AMA","Municipal","Supply","Effluent","Direct Use Effluent","3202"
"2011","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3202"
"1992","PRESCOTT AMA","Municipal","Population","Municipal","Small Municipal Provider Population","3200"
"2001","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3200"
"1997","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3199"
"2006","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","3198"
"1992","PINAL AMA","Agricultural","Supply","Effluent","Effluent","3186"
"1994","PRESCOTT AMA","Agricultural","Supply","Surface Water","Surface Water","3180"
"1987","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3179"
"1990","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3178"
"2010","PHOENIX AMA","Agricultural","Supply","Effluent","GSF (EFFLUENT)","3178"
"1999","PHOENIX AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","3168"
"2015","PRESCOTT AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","3168"
"2000","PINAL AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","3162"
"2004","TUCSON AMA","Industrial","Demand","Industrial","Power Generation Facilities","3160"
"2018","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","3152"
"2015","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","3146"
"1997","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","3143"
"2009","PINAL AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","3143"
"2007","PINAL AMA","Indian","Demand","Indian","Indian Agricultural Lost and Unaccounted for water","3140"
"2004","PRESCOTT AMA","Recharge","Natural","","Net Natural Recharge In","3138"
"2005","PINAL AMA","Municipal","Supply","CAP","CAP","3134"
